Participant,uppercase value,maps to body part concept,maps to preservation type concept,in language,with n (Occurrences) =,,,,,,,,,,,,,,,,notes
Andy Jones,D. R. PAULSON 1978,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,D. R. PAULSON 2013,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,D. R. PAULSON 2022,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,D. R. PAULSON 2053,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,D. R. PAULSON 2194,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,E. C. PARKINS 0001,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,E. E. CARDIFF 1487,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,E. J. BOOTH 007,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,E. J. BOOTH 043,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,E. J. BOOTH 636,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,E. J. BOOTH 744,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,E. J. BOOTH 753,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,E. R. BOOTH 0177,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,EGG (1 BOKEN),EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,EGG (1 BROKEN 3 INTACT),EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,"EGG (1 CRACKED, SINGLE EGGS, ALL W/ IRREGULAR HOLES)",EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,"EGG (1 EGG BROKEN, 1 SHELL REMNANT)",EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,"EGG (1 INTACT, 2 BROKEN, 1 MISSING)",EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,EGG (1 IS A FRAGMENT),EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,"EGG (2 BROKEN, 1 CRACKED, 7 INTACT)",EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,EGG (2 CRACKD 1 INTACT),EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,"EGG (2 CRACKED, 1 INTACT)",EGG,,,2,,,,,,,,,,,,,,,,
Andy Jones,EGG (2 INTACT OF SET OF 4),EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,"EGG (2: 1 BROKEN, OR 3: 2 BROKEN)",EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,EGG (3 INTACT 1 BROKEN 1 CRACKED),EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,"EGG (3 INTACT, 1 BROKEN; SINGLE EGGS)",EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,EGG (3: 1 BROKEN),EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,"EGG (4 INTACT, 3 BROKEN)",EGG,,,2,,,,,,,,,,,,,,,,
Andy Jones,"EGG (6 INTACT, 1 REPAIRED)",EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,"EGG (7 INTACT, 1 BROKEN)",EGG,,,2,,,,,,,,,,,,,,,,
Andy Jones,"EGG (9 INTACT, 1 REPAIRED)",EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,"EGG (BROKEN, IN 2 PIECES)",EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,"EGG (BROKEN, REPAIRED)",EGG,,,11,,,,,,,,,,,,,,,,
Andy Jones,EGG (EGGS),EGG,,,7,,,,,,,,,,,,,,,,
Andy Jones,EGG (INTACT; HOST: PIPILO ERYTHROPHTHALMUS),EGG,,,3,,,,,,,,,,,,,,,,
Andy Jones,EGG (INTACT; HOST: SETOPHAGA RUTICILLA),EGG,,,6,,,,,,,,,,,,,,,,
Andy Jones,EGG (INTACT; NO WRITTEN MARKS),EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,EGG (INTACT; PARASITIZED BY MOLOTHRUS ATER),EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,EGG (INTACT; WITH1 INTACT MOLOTHRUS),EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,"EGG (IRREGULAR HOLES, 1 CRACKED)",EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,EGG (LARGE HOLE; HOST: SEIURUS AUROCAPILLA),EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,EGG (MOSTLY INTACT),EGG,,,1,,,,,,,,,,,,,,,,
Andy Jones,EGGS; NEST; TISSUE,EGG | NEST,,,1,,,,,,,,,,,,,,,,
Andy Jones,EGGSET; Y; |NEST; Y;,EGG | NEST,,,221,,,,,,,,,,,,,,,,
Andy Jones,ENTIER,WHOLE_BODY,,FR,13352,,,,,,,,,,,,,,,,
Andy Jones,"ESTÓMAC, APARELL REPRODUCTOR (ETÍLIC 70 AMB GLICERINA)",,,,1,,,,,,,,,,,,,,,,
Andy Jones,FEATHER; TOEPAD; TISSUE; FLUID ALCOHOL,,,,1,,,,,,,,,,,,,,,,
Andy Jones,FEATHER; Y; |SKIN; Y; DRIED HEAD ONLY;,,,,1,,,,,,,,,,,,,,,,
Andy Jones,FEATHER; Y; SLIDE- BACK PATCH; |FLAT_SKIN; Y; BODY PELT FROM ALCOHOLIC.; |FLUID; Y;,,,,1,,,,,,,,,,,,,,,,
Andy Jones,FEATHERS (DRY); FEATHERS (DRY); FEATHERS (DRY); FEATHERS (DRY); TISSUE (LYSIS BUFFER: 4°C); TISSUE (FROZEN); TISSUE (FROZEN); TISSUE (FROZEN); SKELETON (DRY); TISSUE (LYSIS BUFFER: 4°C) SAMPLE,,,,1,,,,,,,,,,,,,,,,
Andy Jones,"FEATHERS, SKEL",,,,1,,,,,,,,,,,,,,,,
Andy Jones,FEMORA + TARSI-METATARSI (INCOMPLETE),,,,1,,,,,,,,,,,,,,,,
Andy Jones,"FLAT SKIN WITH COMPLETE SKELETON, TISSUE 8418",,,,1,,,,,,,,,,,,,,,,
Andy Jones,"FLAT SKIN WITH COMPLETE SKELETON, TISSUE 8732",,,,1,,,,,,,,,,,,,,,,
Andy Jones,"FLAT SKIN, SKELETON, WING - 1",,,,2,,,,,,,,,,,,,,,,
Andy Jones,"FLAT SKIN, TISSUE, WING - 1",,,,2,,,,,,,,,,,,,,,,
Andy Jones,FLAT SKIN; TISSUE (FROZEN); SKELETON; TISSUE (FROZEN),,,,2,,,,,,,,,,,,,,,,
Andy Jones,"FLAT_SKIN; Y; |SKEL; N; |SYRINX; Y; |TISSUE; Y; M, H, L;",SKIN | SYRINX | TISSUE,FLAT | UNKNOWN | UNKNOWN,,1,,,,,,,,,,,,,,,,
Andy Jones,"FLAT_SKIN; Y; |SKEL; Y; |SYRINX; Y; |TISSUE; Y; M, H, L;",SKIN | SKELETON | SYRINX | TISSUE,FLAT | UNKNOWN | UNKNOWN | UNKNOWN,,138,,,,,,,,,,,,,,,,
Andy Jones,"FLAT_SKIN; Y; |SKEL; Y; |SYRINX; Y; |TISSUE; Y; M, H, L; |WINGS_TAIL; Y; R WING SPREAD;",,,,1,,,,,,,,,,,,,,,,
Andy Jones,"FLAT_SKIN; Y; |SKEL; Y; |TISSUE; Y; M, H, L, K;",,,,2,,,,,,,,,,,,,,,,
Andy Jones,FLAT_SKIN; Y; NO BONES; |SKEL; Y;,,,,1,,,,,,,,,,,,,,,,
Andy Jones,FLUID - ; CLEARED & STAINED,UNKNOWN,CLEARED_AND_STAINED,,109,,,,,,,,,,,,,,,,
Andy Jones,FLUID - SYRINX ONLY,SYRINX,FLUID,,117,,,,,,,,,,,,,,,,
Andy Jones,"FLUID, SKIN, SKIN",,,,33,,,,,,,,,,,,,,,,
Andy Jones,FLUID; NEMATODES; |GI TRACT; Y; GIZZARD IN ETOH; |SKIN; Y; |TISSUE; Y; |WINGS_TAIL; Y; SPREAD WING ;,,,,1,,,,,,,,,,,,,,,,
Andy Jones,FLUID; Y; GIZZARD; |SKEL; Y; |SYRINX; Y; |TISSUE; Y; MH; |WINGS_TAIL; Y; SPREAD WING;,,,,1,,,,,,,,,,,,,,,,
Andy Jones,FLUID; Y; HEAD ONLY.;,,,,1,,,,,,,,,,,,,,,,
Andy Jones,"FLUID; Y; PARTIALLY DISSECTED; FLIGHT FEATHERS ON LEFT WING CUT, SKIN REMOVED FROM LEFT LEG",,,,1,,,,,,,,,,,,,,,,
Andy Jones,FLUID; Y; TRUNK IN ALCOHOL; |SKIN; Y;,,,,1,,,,,,,,,,,,,,,,
Andy Jones,FROZEN SPECIMEN,WHOLE_BODY,FROZEN,,406,,,,,,,,,,,,,,,,
Andy Jones,G. J. DIVOKY 76-4,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. SHUGART 1947 & M. MOON,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 1029,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 1069,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 1124,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 1191,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 1626,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 1628,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 1788,blank,,,2,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 1832,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 1930,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 1939,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 1975,blank,,,2,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 1995,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2040,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2042,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2048,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2071,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2090,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2094,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2114,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2149,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2190,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2301,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2423,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2439,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2442,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2490,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2510,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2548,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2558,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2563,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2584,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2597,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2689,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2750,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2849,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2884,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2907,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 2986,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 3009,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 3011,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 3019,blank,,,2,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 3065,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 3175A,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 3188,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 3189,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 3198,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 3220,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 3236,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 3270,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 3350,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 3390,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 3391,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 3396,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 3422,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 3639,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 3706,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,G. W. SHUGART 3955,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,GENBANK; Y;  AY322644; SRX484784; |SKIN; Y;,,,,1,,,,,,,,,,,,,,,,
Andy Jones,"GENBANK; Y; AY322711 (MTDNA): MULTIPLE GENES; AY322711 (MTDNA): ND6 (PARTIAL CDS), TRNA-GLU, CONTROL REGION (PARTIAL)|SKEL; Y; PARTIAL SKEL; |SKIN; Y; |TISSUE; U;",,,,1,,,,,,,,,,,,,,,,
Andy Jones,"GENBANK; Y; AY322835 (MTDNA): MULTIPLE GENES; AY322835 (MTDNA): ND6 (PARTIAL CDS), TRNA-GLU, CONTROL REGION (PARTIAL)|SKEL; Y;",,,,1,,,,,,,,,,,,,,,,
Andy Jones,"GENBANK; Y; AY865512 (MTDNA): MULTIPLE GENES; AY865512 (MTDNA): ND6 (PARTIAL CDS), TRNA-GLU, CONTROL REGION (PARTIAL)|SKIN; Y;",,,,1,,,,,,,,,,,,,,,,
Andy Jones,"GENBANK; Y; AY994393 CYTB, PARTIAL CDS; |SKIN; Y;",,,,1,,,,,,,,,,,,,,,,
Andy Jones,"GENBANK; Y; EU583270 MTDNA ND2; |GENBANK; Y; EU583331 MTDNA CYTB, PARTIAL CDS; |SKIN; Y;",,,,1,,,,,,,,,,,,,,,,
Andy Jones,"GENBANK; Y; ND6 PART, TRNA-GLU, CONTROL REGION PART AY322735; |SKEL; Y; TRUNK SKELETON; |SKIN; Y; |TISSUE; U;",,,,1,,,,,,,,,,,,,,,,
Andy Jones,"GENBANK; Y; ND6 PART, TRNA-GLU, CONTROL REGION PART AY322804; |SKEL; Y; TRUNK; |SKIN; Y; |TISSUE; U;",,,,1,,,,,,,,,,,,,,,,
Andy Jones,GI TRACT; Y; DRIED OUT STOMACH CONTENTS; |SKIN; Y; |SYRINX; Y; DRIED OUT;,,,,1,,,,,,,,,,,,,,,,
Andy Jones,GI TRACT; Y; GIZZARD IN ETOH; |SKIN; N; |TISSUE; Y;,,,,1,,,,,,,,,,,,,,,,
Andy Jones,"GI TRACT; Y; GIZZARD IN ETOH; |SKIN; Y; |TISSUE; Y; H, L, M;",,,,1,,,,,,,,,,,,,,,,
Andy Jones,H. HEBARD 0021,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,H. KIMBALL,blank,,,2,,,,,,,,,,,,,,,,
Andy Jones,"HEART, KIDNEY, LIVER (FROZEN); MUSCLE (FROZEN)",,,,1,,,,,,,,,,,,,,,,
Andy Jones,"HEART, KIDNEY, LIVER (FROZEN); WING; MUSCLE (FROZEN)",,,,2,,,,,,,,,,,,,,,,
Andy Jones,HUMERUS ONLY,,,,1,,,,,,,,,,,,,,,,
Andy Jones,ILIUM; SYNSACRUM,,,,1,,,,,,,,,,,,,,,,
Andy Jones,J. KNODEL,blank,,,3,,,,,,,,,,,,,,,,
Andy Jones,J. S. SLIPP,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,JAW (UPPER + LOWER) + SKELETON (INCOMPLETE),,,,1,,,,,,,,,,,,,,,,
Andy Jones,K. A. GUYER 05,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,L. E. STRONG 04,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,L. U. KLEINE 14,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,L. U. KLEINE 36,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,L. U. KLEINE 76,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,L. U. KLEINE 78,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,L. U. KLEINE 87,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,"LIVER (FROZEN); HEART, KIDNEY (FROZEN); MUSCLE (FROZEN); TISSUE; WHOLE ORGANISM (ETHANOL); MUSCLE (FROZEN) SAMPLE",,,,2,,,,,,,,,,,,,,,,
Andy Jones,"LIVER (FROZEN); SKELETON, PARTIAL; FEATHER; WING (DRY); MUSCLE (FROZEN); HEART, KIDNEY (FROZEN)",,,,1,,,,,,,,,,,,,,,,
Andy Jones,"LIVER (FROZEN); SKELETON, POSTCRANIAL; SKIN, STUDY; HEART, KIDNEY (FROZEN)",,,,1,,,,,,,,,,,,,,,,
Andy Jones,M. HUKARI 032,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,M. HUKARI 05,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,M. HUKARI 143,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,M. HUKARI 160,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,M. MOON & G. SHUGART,blank,,,77,,,,,,,,,,,,,,,,
Andy Jones,M. PARSELL 01,blank,,,1,,,,,,,,,,,,,,,,
Andy Jones,METATARSUS + TIBIA + FIBULA (RIGHT) + METACARPUS,,,,1,,,,,,,,,,,,,,,,
Andy Jones,"MISC; Y; CONTENTS OF ESOPHAGUS, DRIED; |SKEL; Y;",,,,1,,,,,,,,,,,,,,,,
Andy Jones,MISC; Y; TOE KERATIN ; |SKIN; Y;,,,,1,,,,,,,,,,,,,,,,
Andy Jones,MISC: FEATHERS,,,,2,,,,,,,,,,,,,,,,
Andy Jones,MOLLY HUKARI,blank,,,3,,,,,,,,,,,,,,,,
Andy Jones,MOULD OF JAW (LOWER),,,,2,,,,,,,,,,,,,,,,
Andy Jones,"MUSCLE (FROZEN); HEART, LIVER (FROZEN); SKELETON, POSTCRANIAL; SKIN, STUDY; MUSCLE (FROZEN) SAMPLE",,,,1,,,,,,,,,,,,,,,,
Andy Jones,"MUSCLE (FROZEN); LIVER (FROZEN); SKELETON, POSTCRANIAL; HEART, KIDNEY (FROZEN)",,,,1,,,,,,,,,,,,,,,,
Andy Jones,MUSCLE (FROZEN); MUSCLE (FROZEN); SKELETON; MUSCLE (FROZEN) SAMPLE,,,,1,,,,,,,,,,,,,,,,
Andy Jones,MUSCLE (FROZEN); SKELETON; KIDNEY (FROZEN),,,,1,,,,,,,,,,,,,,,,
Andy Jones,MUSCLE (FROZEN); SKELETON; LIVER (FROZEN); KIDNEY (FROZEN),,,,1,,,,,,,,,,,,,,,,
Andy Jones,"MUSCLE (FROZEN); WING; HEART, KIDNEY (FROZEN)",,,,2,,,,,,,,,,,,,,,,
Andy Jones,"MUSCLE, HEART | ONE WING",,,,1,,,,,,,,,,,,,,,,
Andy Jones,"MUSCLE, LIVER, HEART, KIDNEY, FAT | ONE WING",,,,4,,,,,,,,,,,,,,,,
Andy Jones,NEST; Y; |SKIN; Y;,,,,4,,,,,,,,,,,,,,,,
Andy Jones,OTHER - 1,,,,18,,,,,,,,,,,,,,,,
Andy Jones,OTHER (95% ETHANOL); TISSUE (FROZEN: VAPOR PHASE NITROGEN); SKELETON (DRY); TISSUE (FROZEN: -80°C) SAMPLE,,,,1,,,,,,,,,,,,,,,,
